At2g19190,At4g23810
At1g24260,At3g23030
At1g28350,At5g13790
At1g24260,At3g30775
At5g13790,At5g23850
At1g16840,At2g20180
At1g24260,At4g30940
At3g55240,At5g11260
At5g13760,At5g13790
At3g62630,At5g13790
At1g19870,At1g24260
At1g70230,At5g13790
At3g47640,At3g47660
At3g27920,At3g33058
At1g24260,At2g31590
At5g13790,At5g66610
At2g20180,At5g10740
At1g24260,At4g24740
At2g34330,At5g11260
At1g24260,At4g16690
At1g24260,At4g30200
At4g31960,At5g13790
At1g32710,At2g20180
At5g13790,At5g19190
At4g25990,At5g13790
At2g20180,At4g11140
At1g24260,At2g01140
At1g24260,At4g39150
At2g02820,At3g21990
At1g67500,At2g36010/At5g02470
At5g13790,At5g41100
At4g00140,At5g13790
At1g21980,At5g13790
At4g23810,At4g31800
At3g27920,At5g59616
At1g24260,At3g02810
At3g27920,At3g52530
At1g24260,At2g44610
At5g13790,At5g50090
At1g18075,At5g13790
At3g61250,At5g61850
At2g20180,At5g23850
At1g24260,At5g11420
At3g17120,At5g13790
At5g13790,At5g48800
At3g50850,At5g11260
At2g20180,At3g56350
At1g24260,At1g77500
At3g42470,At5g41315
At1g07135,At1g24260
At1g14350,At2g04160
At1g24260,At1g72430
At5g13790,At5g55700
At1g01320,At1g24260
At2g20180,At3g02550
At3g60390,At5g13790
At3g52710,At5g13790
At1g22330,At5g13790
At1g14720,At2g20180
At1g69920,At3g27920
At1g24260,At4g31960
At1g24260,At1g79160
At1g24260,At1g64740
At3g60690,At5g13790
At1g24260,At5g01540
At5g13290,At5g13790
At4g24410,At5g13790
At2g02820,At2g39840
At1g14350,At3g28310
At3g50830,At5g41315
At1g07270,At2g36010
At1g24260,At5g11950
At1g24260,At2g28350
At1g77950,At3g27920
At1g23420,At2g21240
At2g33710,At3g47640
At2g36010/At5g02470,At2g40550
At1g12950,At5g41315
At1g14350,At2g23140
At3g27920,At4g04300
At1g07050,At5g13790
At1g24260,At1g55810
At2g41940,At4g36920
At1g04280,At5g13790
At1g22530,At5g13790
At5g13790,At5g57700
At1g24260,At3g56050
At1g60815,At3g27920
At1g62300,At2g19190
At2g14840,At5g41315
At1g63950,At5g13790
At1g24260,At3g10760
At3g27920,At3g46668
At1g35910,At4g36920
At1g24260,At4g38470
At5g13790,At5g62230
At3g07680,At5g13790
At3g50450,At5g13790
At2g20180,At5g10745
At2g17830,At5g11260
At1g24260,At4g05320
At1g24260,At5g60200
At1g60200,At2g02820
At2g01570,At2g20180
At1g47490,At5g13790
At1g26762,At5g13790
At4g23810,At4g33020
At4g08030,At4g23810
At1g24260,At5g18830
At1g19640,At4g36920
At3g09630,At5g41315
At2g26260,At5g41315
At2g20180,At3g61430
At2g42870,At4g36920
At2g02820,At4g15390
At4g02980,At5g41315
At2g20180,At5g13760
At1g28230,At2g02820
At1g59218,At3g27920
At2g02820,At5g39610
At1g08130,At2g36010/At5g02470
At1g24260,At1g32337
At3g27920,At5g02900
At1g64970,At5g13790
At1g15360,At1g24260
At3g14750,At5g13790
At1g24260,At2g43680
At1g05710,At1g24260
At1g70940,At5g13790
At4g23460,At5g13790
At5g05180,At5g13790
At1g24260,At4g32290
At1g24260,At1g35510
At4g36920,At5g62000
At1g24260,At2g42280
At3g09710,At5g13790
At1g20510,At1g24260
At3g05100,At5g13790
At1g24260,At3g60120
At3g02120,At5g13790
At1g24996,At5g41315
At1g66600,At2g20180
At1g22830,At2g20180
At2g20180,At3g54810
At1g04150,At1g24260
At1g14350,At1g58602
At4g15620,At5g13790
At1g24260,At3g19580
At1g70140,At5g13790
At2g15590,At4g18960
At1g24260,At3g55980
At1g24260,At1g56580
At1g35200,At2g02820
At1g14350,At5g58540
At5g41315,At5g45905
At1g24260,At1g68620
At1g24260,At5g65430
At1g24260,At4g24540
At2g36010/At5g02470,At2g44980
At2g20130,At5g13790
At1g24260,At1g29395
At2g20180,At4g00310
At2g16660,At2g20180
At1g24260,At3g16000
At5g13790,At5g40460
At1g53820,At5g11260
At1g09520,At1g24260
At1g24260,At4g22780
At1g73130,At2g20180
At2g20180,At5g39060
At1g09070,At5g41315
At1g14350,At5g35830
At1g24260,At5g16000
At2g35640,At5g13790
At5g11260,At5g57510
At2g20180,At5g06990
