"""267470_at""","""At2g30490"""
"""251138_at""","""At5g01160"""
"""250944_at""","""At5g03380"""
"""245233_at""","""At4g25580"""
"""253213_at""","""At4g34910"""
"""248548_at""","""At5g50300"""
"""263564_s_at""","""At2g15400"""
"""262382_at""","""At1g72920"""
"""245200_at""","""At1g67850"""
"""252910_at""","""At4g39590"""
"""263229_s_at""","""At1g05650"""
"""246825_at""","""At5g26260"""
"""263819_x_at""","""At2g10140"""
"""259770_s_at""","""At1g29410"""
"""254849_at""","""At4g11970"""
"""252195_at""","""At3g50190"""
"""258699_at""","""At3g09460"""
"""256501_at""","""At1g36756"""
"""252447_at""","""At3g47040"""
"""267370_at""","""At2g44525"""
"""251571_at""","""At3g58330"""
"""263042_at""","""At1g23340"""
"""250669_at""","""At5g06870"""
"""262281_at""","""At1g68570"""
"""246210_at""","""At4g36420"""
"""248302_at""","""At5g53160"""
"""260115_at""","""At1g33870"""
"""247801_at""","""At5g58560"""
"""263124_at""","""At1g78480"""
"""257987_at""","""At3g20740"""
"""261031_at""","""At1g17360"""
"""248861_at""","""At5g46700"""
"""252486_at""","""At3g46510"""
"""263261_at""","""At1g10580"""
"""257727_at""","""At3g18380"""
"""258913_at""","""At3g06450"""
"""265851_at""","""At2g42340"""
"""258046_at""","""At3g21220"""
"""265372_at""","""At2g06500"""
"""255474_at""","""At4g02470"""
"""259434_at""","""At1g01490"""
"""266195_at""","""At2g39100"""
"""253022_at""","""At4g38060"""
"""255042_at""","""At4g09630"""
"""260668_at""","""At1g19530"""
"""249882_at""","""At5g22890"""
"""266303_at""","""At2g27060"""
"""251910_at""","""At3g53810"""
"""252934_at""","""At4g39120"""
"""262616_at""","""At1g06620"""
"""263045_at""","""At2g05370"""
"""246082_at""","""At5g20480"""
"""257010_at""","""At3g14090"""
"""255836_at""","""At2g33440"""
"""260755_at""","""At1g48980"""
"""256223_at""","""At1g56200"""
"""246964_at""","""At5g24830"""
"""256960_at""","""At3g13510"""
"""264669_at""","""At1g09630"""
"""257311_at""","""At3g26570"""
"""257827_at""","""At3g26630"""
"""248808_at""","""At5g47510"""
"""254702_at""","""At4g17940"""
"""249918_at""","""At5g19240"""
"""262472_at""","""At1g50160"""
"""257966_at""","""At3g19800"""
"""248658_at""","""At5g48600"""
"""256313_s_at""","""At1g35850"""
"""255212_at""","""At4g07620"""
"""257454_at""","""At1g65170"""
"""245115_at""","""At2g41530"""
"""258516_at""","""At3g06490"""
"""256235_at""","""At3g12490"""
"""251516_s_at""","""At3g59310"""
"""257400_s_at""","""At1g23810"""
"""262957_s_at""","""At1g54250"""
"""266203_at""","""At2g02230"""
"""245154_at""","""At5g12460"""
"""267455_at""","""At2g33760"""
"""266812_at""","""At2g44830"""
"""245478_at""","""At4g16130"""
"""252969_at""","""At4g38900"""
"""249520_at""","""At5g38670"""
"""252408_at""","""At3g47600"""
"""253030_at""","""At4g38180"""
"""267330_at""","""At2g19270"""
"""263943_at""","""At2g35800"""
"""259784_at""","""At1g29450"""
"""255337_at""","""At4g04450"""
"""249228_at""","""At5g42190"""
"""247765_at""","""At5g58860"""
"""256201_at""","""At1g58230"""
"""247978_at""","""At5g56710"""
"""246550_at""","""At5g14920"""
"""259678_at""","""At1g77750"""
"""255571_at""","""At4g01220"""
"""247766_at""","""At5g58870"""
"""266104_at""","""At2g45150"""
"""252157_at""","""At3g50430"""
"""249333_at""","""At5g40990"""
"""265414_at""","""At2g16660"""
"""266512_at""","""At2g47690"""
"""264058_at""","""At2g03560"""
"""246564_at""","""At5g15610"""
"""258593_at""","""At3g04480"""
"""257924_at""","""At3g23190"""
"""258909_at""","""At3g06340"""
"""249369_at""","""At5g40680"""
"""266245_at""","""At2g27700"""
"""244958_at""","""orf106b"""
